Monitoring cluster status at http://localhost:8080... (Ctrl+C to stop)
Time | Leader ID | State | Term
20:00:31 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:32 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:33 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:34 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:35 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:37 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:38 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:39 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:40 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:41 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:42 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:43 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:44 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:45 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:46 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:47 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:48 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:49 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:50 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:51 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:52 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:53 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:54 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:55 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:56 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:57 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:58 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
